점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cps),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250523G,박다영,칼라강판용,[913기반] GMA 3% + AA 1% + CHMA 5% + BA:2-EHA=1:1,0.4715999960899353,0.46050000190734863,0.7307000160217285,0.9764999747276306,0.032099999487400055,8-9,-52.790000915527344,25.0,3.77E-03,,328.6499938964844,BA 45.5 / 2-EHA 45.5 / CHMA 5 / GMA 3 / AA 1,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt%,4.75시간,83
S250523F,노항우,장기보관성개선,[919기반] CHMA 15% : NG(저고형분),0.4738999903202057,,,,,,,,4.14E-03,,326.9800109863281,BA 41.48 / 2-EHA 41.48 / CHMA 15 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.wt%,4.75시간,83
S250521H,노항우,바이오모노머적용,[909기반] IBXA 30% : NG(저고형분),0.4738999903202057,0.3646000027656555,,,,,,,4.14E-03,,217.97999572753906,BA 33.35 / 2-EHA 33.35 / IBXA 30 / 2-HEMA 2 / AA 1.3,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.wt%,4.75시간,83
S250520A,이민지,장기보관성개선,[911기반] EMA 4.5wt% + HDDA 0.75% : NG,0.483599990606308,0.4505999982357025,0.6492000222206116,0.9318000078201294,0.0010999999940395355,8-9,,50.0,2.50E-03,,316.2900085449219,BA 93.45 / EMA 4.5 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.21wt%,4.75시간,83
S250519H,노항우,난부착용,[917기반] 911 조성,0.46720001101493835,0.4375,0.7728000283241272,0.9363999962806702,0.0015999999595806003,8-9,,25.0,3.77E-03,,333.0199890136719,BA 89.7 / MMA 9 / AA 1.3 / NDM 0.4,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.24g,4.75시간,83
S250519G,박다영,칼라강판용,[913기반] GMA 3% + AA 1% + CHMA 5% + HDDA 0.75%,0.4713999927043915,0.4499000012874603,0.7473999857902527,0.9544000029563904,0.03350000083446503,8-9,,25.0,3.77E-03,,328.7799987792969,BA 90.25 / CHMA 5 / GMA 3 / AA 1 / HDDA 0.75,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.20wt%,4.75시간,83
S250519C,이민지,장기보관성개선,[911기반] EA 4.5wt% + HDDA 0.75%,0.4832000136375427,0.447299987077713,0.694599986076355,0.9257000088691711,0.11029999703168869,8-9,,50.0,2.50E-03,,316.5199890136719,BA 93.45 / EA 4.5 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.23wt%,4.75시간,83
S250519B,이민지,장기보관성개선,[911기반] EMA 4.5wt% + HDDA 0.75% : NG(응집),0.48899999260902405,,,,,,,,2.50E-03,,312.7699890136719,BA 93.45 / EMA 4.5 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt%,4.75시간,83
S250519A,이민지,장기보관성개선,[911기반] MMA 4.5wt% + HDDA 0.75%,0.48330000042915344,0.4553000032901764,0.4553000032901764,0.9420999884605408,0.09600000083446503,8-9,,50.0,2.50E-03,,316.4800109863281,BA 93.45 / MMA 4.5 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.22wt%,4.75시간,83
S250516H,노항우,장기보관성개선,[919기반] CHMA 10%,0.4690000116825104,0.4311999976634979,0.697700023651123,0.9193999767303467,0.06400000303983688,8-9,,25.0,4.14E-03,,330.3500061035156,BA 43.98 / 2-EHA 43.98 / CHMA 10 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.wt%,4.75시간,83
S250516G,노항우,장기보관성개선,[919],0.4690000116825104,0.42899999022483826,0.6326000094413757,0.9146999716758728,0.07829999923706055,8-9,,25.0,4.14E-03,,330.3500061035156,BA 38.98 / 2-EHA 38.98 / CHMA 20 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.wt%,4.75시간,83
S250609A,이민지,난부착용,[917기반] 911 조성 + MMA 0% + NDM 0.1%,0.46619999408721924,0.44279998540878296,0.7360000014305115,0.9498000144958496,0.000699999975040555,8-9,-52.86000061035156,40.0,3.77E-03,,332.739990234375,BA 98.7 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt% / NH4OH(P/E) 3.233g,4.75시간,83
S250609B,이민지,난부착용,[917기반] 911 조성 + IBOA 4.5% + NDM 0.2%,0.4666000008583069,0.4456999897956848,0.7384999990463257,0.9552000164985657,0.0020000000949949026,8-9,-50.2400016784668,40.0,3.77E-03,,332.4599914550781,BA 94.2 / IBOA 4.5 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.22wt% / NH4OH(P/E) 3.233g,4.75시간,83
S250609C,이민지,난부착용,[917기반] 911 조성 + MMA 4.5% + NDM 0.2%,0.46639999747276306,0.45179998874664307,0.7450000047683716,0.9686999917030334,0.0006000000284984708,8-9,-47.45000076293945,40.0,3.77E-03,,332.6000061035156,BA 94.2 / MMA 4.5 / AA 1.3 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.233g,4.75시간,83
S250609F,이민지,난부착용,[917기반] 911 조성 + EMA 4.5% + AA 0.5% + NDM 0.2%,0.46639999747276306,0.4526999890804291,0.73580002784729,0.9706000089645386,0.002300000051036477,8-9,-50.209999084472656,50.0,3.77E-03,,332.6199951171875,BA 94.2 / EMA 4.5 / AA 0.5 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.23wt% / NH4OH(P/E) 3.233g,4.75시간,83
S250609G,이민지,난부착용,[917기반] 911 조성 + EMA 4.5% + AA 1.3% + 2-HEMA 2% + NDM 0.2%,0.4659999907016754,0.44999998807907104,0.7656999826431274,0.9656999707221985,0.002400000113993883,8-9,-47.36000061035156,100.0,3.77E-03,,332.9100036621094,BA 92.2 / EMA 4.5 / 2-HEMA 2 / AA 0.5 / NDM 0.1,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.85wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.25wt% / NH4OH(P/E) 3.231g,4.75시간,83
S250605H,노항우,논문데이터용,[911기반] SR-1025 2.5% + MMA12/BMA5/AA1,0.48089998960494995,0.46869999170303345,0.7664999961853027,0.9746000170707703,0.0005000000237487257,8-9,-35.7400016784668,50.0,3.58E-03,,642.3099975585938,BA 82 / MMA 12 / BMA 5 / AA 1,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.14wt%,4.75시간,83
S250611A,노항우,논문데이터용,[911기반] SR-1025 2.5% + MMA12/BMA5/AA2,0.47929999232292175,0.4659999907016754,0.7383999824523926,0.9722999930381775,0.006000000052154064,8-9,-34.02000045776367,50.0,3.57E-03,,322.260009765625,BA 81 / MMA 12 / BMA 5 / AA 2,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.21wt%,4.75시간,83
S250611B,노항우,논문데이터용,[911기반] SR-1025 2.5% + MMA12/BMA5/AA5,0.4740000069141388,0.45669999718666077,0.6960999965667725,0.9635000228881836,0.014600000344216824,8-9,-28.850000381469727,5100.0,3.57E-03,,325.82000732421875,BA 78 / MMA 12 / BMA 5 / AA 5,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 2.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.42wt%,4.75시간,83
