점착제,작업자,분류,설명,이론 고형분(%),측정 고형분(%),수율(%),전환율(%),응집량(%),pH,Tg,점도(cP),초기 유화제 농도,입도(nm),Scale,모노머,용제,개시제,유화제 및 첨가제,반응시간,온도
S250507H,박다영,장기보관성개선,[911기반] HDDA 0.75% + A-10 0.08%,0.4828999936580658,0.4577000141143799,0.6927000284194946,0.9477999806404114,0.0700000002980232,8-9,-41.91999816894531,50.0,0.0025,,316.760009765625,BA 88.95 / MMA 9 / AA 1.3 / HDDA 0.75,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / A-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.24wt%,4.75시간,83.0
S250508H,노항우,장기보관성개선,[911기반] MMA 0wt% + EA 4.5%,0.4841000139713287,0.4691999852657318,0.6632999777793884,0.9692000150680542,0.0359000004827976,8-9,,50.0,0.0025,,315.989990234375,BA 94.2 / EA 4.5 / AA 1.3,증류수 101.8wt%,KPS 0.33wt% ( 후첨 0.10wt% ),SR-1025 1.50wt%(초기 0.03wt%) / ER-10 0.08wt% / NaHCO3 0.06wt% / NH4OH 0.19wt%,4.75시간,83.0
S250509E,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA + b-CEA 1.5%,0.4704999923706054,0.4278999865055084,0.6779000163078308,0.909500002861023,0.0063999998383224,8-9,-62.119998931884766,50.0,0.00377,,329.3900146484375,2-EHA 77.2 / BA 20 / b-CEA 1.5 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250509F,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA + b-CEA 3%,0.4675000011920929,0.4632999897003174,0.694100022315979,0.99099999666214,0.0161000005900859,8-9,-60.900001525878906,600.0,0.00377,,331.489990234375,2-EHA 75.7 / BA 20 / b-CEA 3 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.37wt%,4.75시간,83.0
S250509G,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA + 4-HBA 1.5%,0.4704999923706054,0.4645000100135803,0.6959999799728394,0.9872000217437744,0.0217000003904104,8-9,-62.880001068115234,250.0,0.00377,,329.3800048828125,2-EHA 77.2 / BA 20 / 4-HBA 1.5 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250509H,노항우,난부착용,[913기반] BA > 2-EHA + CHMA > BA + 4-HBA 3%,0.4704999923706054,0.4629999995231628,0.6769999861717224,0.9840999841690063,0.0160000007599592,8-9,-62.41999816894531,250.0,0.00377,,329.3800048828125,2-EHA 75.7 / BA 20 / 4-HBA 3 / AA 1.3,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250513H,박다영,칼라강판용,[913기반] GMA 5% + AA 1% + CHMA 12%,0.4704999923706054,0.4580999910831451,0.0035000001080334,0.9735999703407288,0.0035000001080334,8-9,-42.099998474121094,50.0,0.00377,,329.4200134277344,BA 84 / CHMA 12 / GMA 3 / AA 1,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250513G,박다영,칼라강판용,[913기반] GMA 5% + AA 1% + CHMA 5%,0.4704999923706054,0.4524999856948852,0.0142999999225139,0.9617000222206116,0.0043000001460313,8-9,-47.75,50.0,0.00377,,329.4200134277344,BA 91 / CHMA 5 / GMA 3 / AA 1,증류수 104.61wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.24wt%,4.75시간,83.0
S250515G,박다영,가공용,[909기반] HDDA 0.75%,0.4688000082969665,0.4350999891757965,0.6280999779701233,0.9280999898910522,0.0206000003963708,8-9,,50.0,0.00414,,330.5400085449219,BA 37.98 / 2-EHA 37.98 / IBOMA 20 / 2-HEMA 2 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.21wt%,4.75시간,83.0
S250515H,박다영,가공용,[909기반] HDDA 0.75% + IBOMA 10%,0.4686999917030334,0.4410000145435333,0.635699987411499,0.9409000277519226,0.0544000007212162,8-9,,50.0,0.00414,,330.5799865722656,BA 42.98 / 2-EHA 42.98 / IBOMA 10 / 2-HEMA 2 / AA 1.3 / HDDA 0.75,증류수 105.75wt%,KPS 0.32wt% ( 후첨 0.10wt% ),SR-1025 2.83wt%(초기 0.04wt%) / ER-10 0.15wt% / NH4OH 0.22wt%,4.75시간,83.0
